## utf-8


分类          | 模块         | 子模块/子程序       | 文件类型   | 功能说明                                                                                        | 程序位置                            | 是否修改                   | 是否基于开源 | 备注   | 开发编译环境 | 负责人 | 备注
插件          | 联动编辑插件 | LdCustomActEdit.dll | 动态库     | 联动动作编辑动态库                                                                              | sup\ld_edit\LdCustomActEdit         | 修改                       |              |        | C++          | 侯得果 |
插件          | 联动执行插件 | ld_cctv_exec.dll    | 动态库     | 联动CCTV执行动态库                                                                              | sup\ld_exec\ld_cctv_exec            | 新开发                     |              |        | C++          | 侯得果 |
插件          | 联动执行插件 | ld_pa_exec.dll      | 动态库     | 联动广播执行动态库                                                                              | sup\ld_exec\ld_pa_exec              | 修改                       |              |        | C++          | 侯得果 |
插件          | CCTV         | mycctv.dll          | 动态库     | cctv动态库                                                                                      | sup\mycctv                          | 新开发                     |              |        | C++          | 侯得果 |
插件          | PA           | mypactrl.dll        | 动态库     | 广播控制动态库                                                                                  | sup\mypa                            | 新开发                     |              |        | C++          | 侯得果 |
插件          | PA           | mypamgr.dll         | 动态库     | 定时广播动态库                                                                                  | sup\mypa                            | 新开发                     |              |        | C++          | 侯得果 |
插件          | PIS          | mypisctrl.dll       | 动态库     | pis控制动态库                                                                                   | sup\mypis                           | 新开发                     |              |        | C++          | 侯得果 |
插件          | PIS          | mypismgr.dll        | 动态库     | pis定时动态库                                                                                   | sup\mypis                           | 新开发                     |              |        | C++          | 侯得果 |
插件          | 联动执行插件 | ld_exec             | 动态库     | 联动执行动态库                                                                                  |                                     |                            |              |        |              | 侯得果 |
"T/D/NMS工具" | DMS          | dms                 | 可执行程序 | 设备管理系统                                                                                    | extensions\dms                      |                            |              |        | C++          | 侯得果 |
"T/D/NMS工具" | NMS          | nms                 | 可执行程序 | 网络管理系统服务器程序。                                                                        | extensions\nms                      | 修改                       |              |        | C++          | 侯得果 |
"T/D/NMS工具" | NMS          | libscd_udp.dll      | 动态库     | 发送报文到SCADA服务器的接口库。                                                                 | extensions\nms                      |                            |              |        | C++          | 侯得果 |
"T/D/NMS工具" | NMS          | libdes.lib          | 动态库     | des算法库                                                                                       | extensions\nms\snmp++\libdes        | 少量修改，和国密兼容性问题 | 是           |        | C++          | 侯得果 |
"T/D/NMS工具" | NMS          | libsnmp++.dll       | 动态库     | 用于SNMP编程的C++开源库。                                                                       | extensions\nms\snmp++\snmp_pp       | 少量修改                   | 是           |        | C++          | 侯得果 |
"T/D/NMS工具" | 工具         | sysmgr              | 可执行程序 | 系统网络节点、服务器维护程序                                                                    | smmi\tools\sysmgr                   | 修改                       |              |        | C++          | 侯得果 |
"T/D/NMS工具" | 工具         | pcc                 | 可执行程序 | 计算脚本语言编辑器                                                                              | smmi\tools\ipcc                     |                            |              |        | C++          | 侯得果 |
"T/D/NMS工具" | 工具         | dbmgr               | 可执行程序 | 数据库维护界面程序                                                                              | smmi\tools\dbui\dbmgr               | 修改                       |              |        | C++          | 侯得果 |
"T/D/NMS工具" | 工具         | dbmgr               | 可执行程序 | 数据库维护界面程序                                                                              | smmi\tools\dbui\dbmgr               | 修改                       |              |        | C++          | 侯得果 |
"T/D/NMS工具" | 工具         | gethostid           | 可执行程序 | 获取网卡工具                                                                                    | lgen                                |                            |              |        | C++          | 侯得果 |
"T/D/NMS工具" | 工具         | lgen                | 可执行程序 | license生成器                                                                                   | lgen                                |                            |              |        | C++          | 侯得果 |
"T/D/NMS工具" | 工具         | brtools             | 可执行程序 | 数据库备份和恢复工具。                                                                          | tools\backup\brtools                | 修改，值表过滤             |              |        | C++          | 侯得果 |
"T/D/NMS工具" | 工具         | hisplanbak          | 可执行程序 | 历史数据计划备份。                                                                              | tools\backup\hisplanbak             | 修改，事项                 |              |        | C++          | 侯得果 |
"T/D/NMS工具" | 工具         | dbspy               | 可执行程序 | 数据库访问接口监视程序                                                                          | tools\dbspy                         |                            |              |        | C++          | 侯得果 |
"T/D/NMS工具" | 工具         | dfwave              | 可执行程序 | 故障录波查看器                                                                                  | tools\dfwave                        |                            |              |        | C++          | 侯得果 |
"T/D/NMS工具" | 工具         | qtran               | 可执行程序 | 翻译文件管理                                                                                    | tools\language                      |                            |              | 废弃   | C++          | 侯得果 |
"T/D/NMS工具" | 工具         | modelmgr            | 可执行程序 | 模板管理工具                                                                                    | tools\modelmgr                      | 少量修改                   |              |        | C++          | 侯得果 |
"T/D/NMS工具" | 工具         | vlog                | 可执行程序 | 平台日志查看(命令行，功能包含在sysmgr中)                                                        | tools\syslog                        |                            |              |        | C++          | 侯得果 |
"T/D/NMS工具" | 工具         | wftp                | 可执行程序 | ftp程序                                                                                         | tools\wftp                          |                            |              |        | C++          | 侯得果 |
数据库        | 数据库       | dbhissrv            | 可执行程序 | 历史数据统计程序                                                                                | dfdb                                |                            |              |        |              | 孙宝喜 |
数据库        | 数据库       | dbhistable          | 可执行程序 | 定时维护历史库表程序                                                                            | dfdb                                |                            |              |        |              | 孙宝喜 |
数据库        | 数据库       | dbhoursta           | 可执行程序 | 历史数据小时统计进程                                                                            | dfdb                                |                            |              |        |              | 孙宝喜 |
数据库        | 数据库       | dbsrv               | 可执行程序 | 数据库一致性维护程序                                                                            | dfdb                                |                            |              |        |              | 孙宝喜 |
数据库        | 数据库       | dbclean             | 可执行程序 | 数据库清理工具                                                                                  | dfdb                                |                            |              |        |              | 孙宝喜 |
数据库        | 数据库       | dbcorrect           | 可执行程序 | 数据（参数历史数据等）导入导出工具                                                              | dfdb                                |                            |              |        |              | 孙宝喜 |
核心级        | 实时库       | dorbase.dll         | 动态库     | 实时库类库。                                                                                    | dorbase                             | 少量修改，生成事项方面     |              |        | C++
核心级        | 实时库       | rdbbackup           | 可执行程序 | 实时库备份命令行程序                                                                            | dorbase                             | 新增                       |              |        | C++
核心级        | 实时库       | rsql                | 可执行程序 | 访问远程实时库的客户端程序。                                                                    | dorbase                             |                            |              |        | C++
核心级        | 实时库       | lrsql               | 可执行程序 | 访问本地实时库的客户端程序。                                                                    | dorbase                             |                            |              |        | C++
核心级        | 实时库       | rdbdataserv         | 可执行程序 | 实时数据维护服务器程序。                                                                        | dorbase                             |                            |              |        | C++
核心级        | 实时库       | rdbspcheck          | 可执行程序 | 废弃                                                                                            | dorbase                             |                            |              | 已废弃 | C++
核心级        | 实时库       | rtdbui              | 可执行程序 | 实时库界面                                                                                      | dorbase                             |                            |              |        | C++
核心级        | 网络平台     | pcnet.dll           | 动态库     | 网络平台类库。                                                                                  | network                             | 修改，根据国密需要         |              |        | C++
核心级        | 网络平台     | synctime            | 可执行程序 | liunx/unix下对时程序。                                                                          | network                             |                            |              |        | C++
核心级        | 网络平台     | datsrv              | 可执行程序 | 实时流数据服务器程序。                                                                          | network                             |                            |              |        | C++
核心级        | 网络平台     | syssrv              | 可执行程序 | 系统平台服务模块，负责平台所提供的基本服务功能。                                                | network                             |                            |              |        | C++
核心级        | 网络平台     | srv_gram            | 可执行程序 | 系统文件、邮件、事项服务器程序。                                                                | network                             |                            |              |        | C++
核心级        | 网络平台     | srv_rtdb            | 可执行程序 | 系统实时库服务器程序。                                                                          | network                             |                            |              |        | C++
核心级        | 网络平台     | sysmon              | 可执行程序 | 整个系统的性能、管理、远程服务模块                                                              | network                             |                            |              |        | C++
核心级        | 网络平台     | tevent              | 可执行程序 | 查看本机实时事项的程序。                                                                        | network                             |                            |              |        | C++
核心级        | 网络平台     | dfcfg.dll           | 动态库     | 文件配置接口动态库                                                                              | network                             |                            |              |        | C++
核心级        | 网络平台     | langtrans.dll       | 动态库     | 语言翻译接口库。                                                                                | network                             |                            |              |        | C++
核心级        | 网络平台     | pcdev.dll           | 动态库     | 网络设备管理类。                                                                                | network                             |                            |              |        | C++
核心级        | 网络平台     | historymodel.dll    | 动态库     | 电力模型类                                                                                      | network                             |                            |              |        | C++
核心级        | 网络平台     | sys4vb.dll          | 动态库     | 系统报表动态库（VB调用）                                                                        | network                             |                            |              |        | C++
核心级        | 平台交互     | swaplink            | 可执行程序 | 用于检测前置节点机与scada服务器的通讯链路是否正常。                                             | swapsrv                             | 少量修改，BUG处理          |              |        | C++
核心级        | 平台交互     | swapsrv             | 可执行程序 | 用于平台间信息交互，用于中心和车站之间。                                                        | swapsrv                             | 修改，权限移交等           |              |        | C++
核心级        | 平台交互     | procspy             | 可执行程序 | 平台交互程序调试信息输出工具                                                                    | swapsrv                             |                            |              |        | C++
核心级        | 平台交互     | swapdisp            | 可执行程序 | 查看两个节点机链接情况的字符界面。                                                              | swapsrv                             |                            |              |        | C++
核心级        | 拓扑         | scdntpdll.dll       | 动态库     | 拓扑类库                                                                                        | topo                                | 少量修改                   |              |        | C++
